cluster,de,es,fr,it,ro
ABSTRACT_ETHICS_AI,0.1251,0.2298,0.2401,0.2198,0.2052
AMBIGUOUS_REFERENT,0.0926,0.1117,0.1647,0.1134,0.0947
CREATIVE_NARRATIVE,0.0574,0.0451,0.046,0.0603,0.0368
EMOTIONAL_SUPPORT,0.0848,0.0986,0.1317,0.1049,0.0955
FACTUAL_RECALL,0.0722,0.0556,0.1432,0.0754,0.0728
IMPLICIT_CULTURAL_KNOWLEDGE,0.1106,0.1654,0.1549,0.1525,0.14
LEADERSHIP_CULTURE,0.155,0.1873,0.2262,0.218,0.1753
LIFE_DECISIONS,0.1477,0.1599,0.2282,0.1589,0.1532
METALINGUISTIC,0.1731,0.2273,0.3258,0.2681,0.2538
MORAL_REASONING,0.1128,0.1613,0.1698,0.1453,0.1359
REGISTER_SWITCHING,0.2063,0.2365,0.2859,0.2297,0.2415
TECHNICAL_EXPLANATION,0.1166,0.1234,0.1511,0.1368,0.1371
